"215918_s_at","217046_s_at","205941_s_at","202524_s_at","217428_s_at","217771_at","207302_at","206208_at","206209_s_at","213715_s_at","205637_s_at","205107_s_at","217177_s_at","204396_s_at","203435_s_at","220027_s_at","210608_s_at","49111_at","202523_s_at","221861_at","207547_s_at","205200_at","209470_s_at","210081_at","206283_s_at","219719_at","209469_at","212115_at","209793_at","204271_s_at","209875_s_at","43511_s_at","219508_at","210838_s_at","202148_s_at","200878_at","209904_at","219125_s_at","212975_at","209074_s_at","201004_at","204500_s_at","220677_s_at","63305_at","204677_at","216620_s_at","219059_s_at","209789_at","208981_at"
7.517547924,6.23752432,8.293008433,8.51107142,6.868103394,9.369835398,6.512963246,5.634606942,6.801947177,6.853586876,7.816187971,8.682515827,5.337957245,7.566153333,8.110222619,7.992353048,7.373881226,8.237981793,8.130450784,9.590702079,7.18770418,7.322858996,5.8438246,7.208859981,5.74449222,7.718691143,5.049583221,10.38817163,6.027704383,7.472365309,12.09630215,8.934419169,8.332210407,6.530635138,9.131026196,11.45539718,5.017619255,9.451354735,7.996445099,7.34264386,11.42047746,6.499491024,5.467910516,7.573996438,6.403905793,8.731378379,8.010073844,6.978632977,8.882765696
7.460774172,6.351494032,9.600988583,8.571027405,9.427584807,8.639314049,7.013110858,5.778786201,7.271187751,7.178197529,8.063918834,7.073389517,5.638635261,7.782812151,8.677899031,8.249048352,7.140556617,8.574719156,8.23345474,9.745218116,7.718443442,7.88850328,6.081748815,6.97350455,6.037467346,8.366006789,5.385797672,10.5580176,6.414474311,8.223392563,11.52823025,9.101350693,7.427345751,6.715928475,8.038744361,11.83992461,7.481645309,8.493196857,8.41432435,8.385030498,11.49219306,6.700564049,6.597185258,8.174672993,7.112195812,9.192991416,8.064167437,7.385361064,9.560289261
8.100926359,10.42523258,7.110594003,10.54639341,5.620667867,6.988505225,7.54928794,8.806210118,10.51093359,8.417527052,8.443869992,6.705191207,7.148865166,10.41448212,10.22326847,10.78409206,6.512008174,9.191975219,8.54202849,10.34985259,9.513596466,10.91032719,10.12255029,12.78782682,7.527641266,9.554495573,8.892445593,9.387652256,7.629385843,10.23915656,7.397186126,10.04813,6.691660123,7.763832105,7.421523827,13.48160708,8.721617915,8.297680694,9.453932071,11.58719699,10.89377824,7.40252077,7.64748254,8.941780411,9.982182969,10.13128481,9.632027597,7.848484656,11.47127416
7.697049001,6.545506383,8.535288773,9.012905426,7.679587603,9.609028698,6.410989416,5.667115748,6.882757993,6.787352423,7.732129672,7.17070854,5.656484708,8.675056912,9.674454756,8.301037205,6.899929767,7.811027884,8.132094346,9.100743067,7.545121792,7.505476739,5.893752416,8.071817724,6.037014071,8.579298642,5.229454552,11.04796889,6.040730564,8.710732552,12.59076722,8.304844094,7.030594886,6.480661326,8.380552857,11.07252654,7.442934755,9.02014938,8.662254306,8.42698067,11.41700882,6.759633968,5.421808983,7.745107315,8.022733192,8.931416593,8.648510191,7.067536906,10.1295278
8.247769761,9.594426635,7.17847521,10.11666197,5.875369289,7.155661589,7.220885454,8.342926006,9.744144624,7.613012759,8.534974011,6.436668782,6.96871042,9.904718236,10.49124532,9.860500286,6.807852571,8.939561763,8.614805405,10.1753404,10.06815798,9.695724959,9.151427817,12.0752222,6.708416069,9.440449725,8.274697497,9.149632395,6.89958219,9.745716229,7.23828811,9.589349134,6.978779156,6.776874729,7.545702899,13.06736133,8.47057255,8.358630407,9.691402574,11.61637376,10.61845028,7.612436927,7.080406654,8.647266117,9.537988827,9.706646624,9.986451955,7.86408082,11.08892525
6.965252174,6.072174179,10.87787412,8.158487026,10.18209546,10.2803745,6.694260791,5.690205899,6.601897472,6.734107026,7.879697883,8.090129833,5.364415422,7.06837981,8.571612689,8.171397314,7.162043038,8.11988491,7.969694211,9.395379781,7.241728542,7.026036832,5.611665939,6.712576727,5.777778294,7.870631544,5.063370814,10.32305989,6.135666794,7.48980626,12.33393872,8.673772684,9.416222187,6.570947392,8.507340169,10.8273293,4.917735591,9.111529812,8.032546045,6.97034996,12.00879686,7.048682203,5.676366806,7.492638774,6.185060394,8.655812883,7.950123379,7.044038226,9.176262332
8.386509344,10.60419012,6.464265434,11.15502738,5.671976515,7.238455749,7.507395015,8.509336467,10.33260936,8.622211361,8.717845238,6.389431712,6.25108425,10.40683759,10.51298003,10.26058528,6.334242732,8.967725843,9.14057565,10.33595727,10.01202,11.62612882,9.497735249,13.22618782,7.470546064,9.814418967,8.119463076,9.482642666,7.186702455,11.09800453,6.417708499,9.45565401,6.526733597,7.037042038,7.401971318,13.4406623,9.791267746,8.324664291,9.723779244,11.50795285,10.93833394,7.728640118,8.117455913,8.944362076,10.09420634,10.20519038,9.074770085,8.007474474,11.2160668
7.15513405,6.455119592,9.150274183,7.760987453,8.565739288,8.07246986,6.824356607,5.825424068,6.96557235,6.854914735,7.949103037,6.98039202,5.697639402,7.933281144,9.126774851,8.313934005,7.702182298,7.893126858,7.717099565,9.380526136,7.465127532,8.161441134,6.601676082,8.180525189,5.856167423,8.292358307,5.537088494,10.06040871,6.452297624,7.957458422,9.201310714,8.394638171,7.162285183,6.840328078,9.273171223,11.01663573,6.239257711,9.052927617,8.485706667,8.692199434,11.8797597,6.837069042,5.997152732,7.859678152,6.944158452,9.076711198,8.286105334,7.165203913,9.655987069
8.34803747,10.63052639,7.069289298,10.81849447,5.607180591,6.830483676,7.327295705,8.667112379,10.2527368,8.075420548,8.638840921,6.537033024,7.092048235,10.16737455,9.855173466,10.28057831,6.839018929,8.842700771,9.481966872,10.17392753,9.387756674,11.63240613,9.556696255,12.9345263,7.859638232,9.650271707,8.43892521,9.147398399,7.143083252,10.64798941,6.430000055,9.272136356,6.961394628,8.002108837,7.999988314,13.56076799,9.729043592,8.283674363,9.52495298,11.09742506,11.04329122,7.378285558,7.478392223,8.167287761,9.852807468,10.17337616,9.198638227,7.778931246,11.4967006
7.6923915,8.267515628,8.659300705,9.411785733,7.206202043,8.653838085,6.923429008,6.617743594,7.71529121,7.448881065,7.819306277,7.350479371,6.293641182,8.524729068,9.402461475,8.906732198,7.203311096,7.951996653,8.251569095,8.964363698,8.432306116,9.489381484,7.776804737,10.64339099,6.122888242,8.324588437,6.130208261,9.221300095,6.89958219,8.604498004,11.10666289,8.413597272,6.684343902,6.87533123,8.201927456,12.14247036,6.911303371,8.992283359,8.570952711,10.26269508,12.06750453,6.964180347,6.044188606,8.34336717,7.621813705,9.06542215,8.634755406,7.163724446,10.42590265
